operator_id,inbound_attempts,inbound_records,total_inbound_wait_seconds,active_inbound_days,missed_inbound_calls,missed_inbound_rate,avg_inbound_wait_per_call_seconds,share_total_missed_calls,active_inbound_weeks,above_10pct_project_reference,exploratory_30plus_calls_view,operator_rank_by_missed_calls,cumulative_missed_calls,cumulative_missed_share
905566,44,23,715,23,1,0.022727272727272728,16.25,0.0010799136069114472,10,False,True,183,870,0.9395248380129589
924546,44,23,701,22,1,0.022727272727272728,15.931818181818182,0.0010799136069114472,7,False,True,184,871,0.9406047516198704
939476,40,7,371,6,1,0.025,9.275,0.0010799136069114472,2,False,True,185,872,0.9416846652267818
955032,38,12,328,10,1,0.02631578947368421,8.631578947368421,0.0010799136069114472,2,False,True,186,873,0.9427645788336934
934074,37,19,534,19,1,0.02702702702702703,14.432432432432432,0.0010799136069114472,7,False,True,187,874,0.9438444924406048
929876,36,19,492,18,1,0.027777777777777776,13.666666666666666,0.0010799136069114472,8,False,True,188,875,0.9449244060475162
935958,35,20,779,19,1,0.02857142857142857,22.257142857142856,0.0010799136069114472,7,False,True,189,876,0.9460043196544277
918436,34,20,632,19,1,0.029411764705882353,18.58823529411765,0.0010799136069114472,8,False,True,190,877,0.9470842332613391
938614,33,13,205,12,1,0.030303030303030304,6.212121212121212,0.0010799136069114472,5,False,True,191,878,0.9481641468682506
939224,32,15,515,15,1,0.03125,16.09375,0.0010799136069114472,7,False,True,192,879,0.949244060475162
914440,30,19,573,18,1,0.03333333333333333,19.1,0.0010799136069114472,9,False,True,193,880,0.9503239740820735
924928,30,15,978,14,1,0.03333333333333333,32.6,0.0010799136069114472,6,False,True,194,881,0.9514038876889849
902910,28,20,736,20,1,0.03571428571428571,26.285714285714285,0.0010799136069114472,8,False,False,195,882,0.9524838012958964
934430,28,22,774,22,1,0.03571428571428571,27.642857142857142,0.0010799136069114472,8,False,False,196,883,0.9535637149028078
912684,27,16,958,14,1,0.037037037037037035,35.48148148148148,0.0010799136069114472,7,False,False,197,884,0.9546436285097192
951490,27,16,400,15,1,0.037037037037037035,14.814814814814815,0.0010799136069114472,5,False,False,198,885,0.9557235421166307
958452,27,12,347,11,1,0.037037037037037035,12.851851851851851,0.0010799136069114472,3,False,False,199,886,0.9568034557235421
